SA3	Region	Median Price	12M Growth (%)	Rent Change (%)	Yield (%)	Buy Affordability	Rent Affordability	10Y Growth (PA)	Latitude	Longitude
The Gap - Enoggera	Brisbane - West	$1,373,600	20.63	8	2.90	11.28	38.66	10.68518519	-27.4162049	152.9834332
Chermside	Brisbane - North	$559,000	24.00	10	2.64	5.52	14.55	11.96261682	-27.3718667	153.0458824
Chermside	Brisbane - North	$1,029,600	20.51	6	3.25	7.76	25.23	11.96261682	-27.3718667	153.0458824
Toowoomba	Toowoomba	$850,000	13.71	9	3.94	7.35	29.01	8.413597734	-27.38884428	151.9922182
Far North	Queensland - Outback	$279,000	5.43	-9	0.00	4.33	0.00	2.516129032	-18.24316037	143.3764587
Sunshine Coast Hinterland	Sunshine Coast	$1,190,000	12.22	8	3.46	12.04	49.21	12.44444444	-26.57705288	152.8178001
Nerang	Gold Coast	$1,199,000	15.14	13	3.70	8.41	31.12	13.66666667	-28.02883411	153.3128844
Burnett	Wide Bay	$395,000	11.76	7	5.36	7.33	39.29	6.52173913	-24.97574079	151.9522205
Burnett	Wide Bay	$400,000	13.64	9	12.88	1.89	24.32	6.52173913	-24.97574079	151.9522205
Charters Towers - Ayr - Ingham	Townsville	$310,000	14.00	13	6.26	3.82	23.94	1.75257732	-19.48265535	147.134716
Gladstone	Central Queensland	$418,200	23.46	16	5.57	5.16	33.99	2.72264631	-23.84227312	151.2461762
Gladstone	Central Queensland	$317,000	21.26	15	6.66	3.83	25.55	2.72264631	-23.84227312	151.2461762
Ipswich Hinterland	Ipswich	$686,800	23.27	10	4.30	7.50	32.25	11.87096774	-27.51085198	152.6192884
Burnett	Wide Bay	$465,000	11.76	7	5.79	6.85	39.68	6.52173913	-26.61754679	152.0222641
